nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,ORAL CONCEPT INVISALIGN,,313 7662008,https://www.instagram.com/teepublic/,,Medellin,Colombia,odontologos,empresas,https://oralconcept.co/home/oral-concept,google_maps,2026-04-28,pendiente
,Dr. Mauricio Arias - Odontólogo Experto en Medellín English Dentist,info@mauricioariasexperience.com,304 6705124,https://www.instagram.com/mauricioariasexperience/,,Medellin,Colombia,odontologos,empresas,https://mauricioariasexperience.com/,google_maps,2026-04-28,pendiente
,Sanadent Odontólogos - La Mejor Clínica Dental en Medellín,mercadeo@sanadentodontologos.com.co,(604) 4486126,https://www.instagram.com/sanadentodontologos/,,Medellin,Colombia,odontologos,empresas,http://www.sanadentodontologos.com.co/,google_maps,2026-04-28,pendiente
,DentiOral - Sede Belén,info@dentioral.com,(604) 4448911,https://www.instagram.com/dentioral/,,Medellin,Colombia,odontologos,empresas,https://www.dentioral.com/,google_maps,2026-04-28,pendiente
,Clínica Dental Home,info@clinicadentalhome.net,310 4194654,https://www.instagram.com/dentalhome/,,Medellin,Colombia,odontologos,empresas,https://clinicadentalhome.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_id=google-business&utm_term=google-business-unicentro,google_maps,2026-04-28,pendiente
,ORAL MAS ESPECIALISTAS,,312 2563272,https://www.instagram.com/oralmas/,,Medellin,Colombia,odontologos,empresas,https://oralmas.com/,google_maps,2026-04-28,pendiente
,Trébol Odontología Especializada Medellín,,318 8297858,,,Medellin,Colombia,odontologos,empresas,https://trebolodontologia.com/,google_maps,2026-04-28,pendiente
,Odontologos en Medellin,info@odontologoenmedellin.com,305 2581651,,,Medellin,Colombia,odontologos,empresas,https://odontologoenmedellin.com/,google_maps,2026-04-28,pendiente
,Odontología 30a,,315 4148548,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-28,pendiente
,Odontólogos y Especialistas,,44112100,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-28,pendiente
,Infinity Smile,,323 4650026,https://www.instagram.com/infinitysmile_co/,,Medellin,Colombia,odontologos,empresas,https://infinitysmile.com.co/,google_maps,2026-04-28,pendiente
,Sánchez Rendón (S&R) odontólogos especialistas,,319 6184755,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-28,pendiente
,Consultorio Odontológico Vida Oral,,313 5912089,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-28,pendiente
,Odontoespecialistas,gerencia@odontoespecialistas.com,313 7591236,https://instagram.com/odontoespecialistas,,Medellin,Colombia,odontologos,empresas,http://www.odontoespecialistas.com/,google_maps,2026-04-28,pendiente
,Dental Expertos,,300 8938020,,,Medellin,Colombia,odontologos,empresas,https://www.instagram.com/dentalexpertos,google_maps,2026-04-28,pendiente
,Orthodontics Medellín,,314 2145728,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-28,pendiente
,Odontología Doctora Camila Londoño,,310 2481468,//www.instagram.com/dracamilalondono,,Medellin,Colombia,odontologos,empresas,https://www.doctoralia.co/camila-londono-galeano/odontologo/medellin,google_maps,2026-04-28,pendiente
,Oral Studio,correo@correo.com,312 7093687,https://www.instagram.com/oralstudiocolombia/?hl=en,,Medellin,Colombia,odontologos,empresas,https://www.oralstudio.com.co/,google_maps,2026-04-28,pendiente
,Dentioral - Sede Poblado,info@dentioral.com,(604) 4448911,https://www.instagram.com/dentioral/,,Medellin,Colombia,odontologos,empresas,https://dentioral.com/,google_maps,2026-04-28,pendiente
,Naturaldent,,311 5410224,,,Medellin,Colombia,odontologos,empresas,https://www.instagram.com/naturaldento?utm_source=qr&igsh=MW9nb3RqZWh4NnRyOQ==,google_maps,2026-04-28,pendiente
