nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,Magenta Seguros ltda,info@magentaseguros.com,01-800-0413851,,,Medellin,Colombia,seguros,empresas,http://magentaseguros.com/,google_maps,2026-04-27,pendiente
,Seguros Bolívar,,315 7159706,,,Medellin,Colombia,seguros,empresas,http://www.segurosbolivar.com/,google_maps,2026-04-27,pendiente
,Seguros Medellín,info@segurosmedellin.com,305 4640343,https://www.instagram.com/segurosmedellincom/,,Medellin,Colombia,seguros,empresas,http://segurosmedellin.com/,google_maps,2026-04-27,pendiente
,Seguros SURA Colombia,,(604) 2602100,https://www.instagram.com/segurossura/?hl=es-la,,Medellin,Colombia,seguros,empresas,http://www.segurossura.com.co/,google_maps,2026-04-27,pendiente
,Aseguradora Solidaria de Colombia - Agencia Laureles.,,45205520,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-27,pendiente
,Real Seguros LTDA Agencia de Seguros,,301 5385188,,,Medellin,Colombia,seguros,empresas,https://real-seguros-refresh.vercel.app/servicios,google_maps,2026-04-27,pendiente
,Aseguradora Solidaria de Colombia - CAV (Centro de Atención a Vehículos) Medellín,,42327575,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-27,pendiente
,Aseguradora Solidaria de Colombia - Agencia Medellín Sector Solidario.,,42629788,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-27,pendiente
,SEGUROS DEL ESTADO,,(604) 6045222,https://www.instagram.com/segurosdelestado/,,Medellin,Colombia,seguros,empresas,https://www.segurosdelestado.com/,google_maps,2026-04-27,pendiente
,Piedad Botero Agencia de Seguros,contactenos@piedadbotero.com,321 8128616,,,Medellin,Colombia,seguros,empresas,https://piedadbotero.com/,google_maps,2026-04-27,pendiente
,Casegura,info@casegura.com,44440853,https://www.instagram.com/seguros.casegura/,,Medellin,Colombia,seguros,empresas,http://casegura.com/,google_maps,2026-04-27,pendiente
,Seguros Mundial - Sucursal Medellín,defensordelconsumidorsegurosmundial@segurosmundial.com.co,(604) 6042987,https://www.instagram.com/segurosmundial/?igshid=Zjc2ZTc4Nzk%3D,,Medellin,Colombia,seguros,empresas,https://www.segurosmundial.com.co/,google_maps,2026-04-27,pendiente
,Unión Agencia de Seguros,dircomercial@segurosunion.com,313 7431807,https://www.instagram.com/unionagenciadeseguros/,,Medellin,Colombia,seguros,empresas,https://www.unionagenciadeseguros.com/,google_maps,2026-04-27,pendiente
,"Sbs seguros Colombia, Medellín",,01-800-0911360,https://www.instagram.com/sbsseguroscolombia/,,Medellin,Colombia,seguros,empresas,https://www.sbseguros.co/,google_maps,2026-04-27,pendiente
,Ceralza Agencia de Seguros | Medicina Prepagada | Seguro de Autos | SOAT Medellín,,314 8300095,,,Medellin,Colombia,seguros,empresas,https://segurosceralza.com/,google_maps,2026-04-27,pendiente
,JJ Seguros Ltda - Joyce Vasquez - Agencia de Seguros en Medellín,,310 8403293,,,Medellin,Colombia,seguros,empresas,https://www.facebook.com/jjsegurosltda,google_maps,2026-04-27,pendiente
,QueSeguro | Comparar y Cotizar Medicina Prepagada y Pólizas de Salud,,(601) 3571122,,,Medellin,Colombia,seguros,empresas,https://queseguro.co/,google_maps,2026-04-27,pendiente
,ASESOR SEGUROS SURA,,316 3796979,,,Medellin,Colombia,seguros,empresas,https://www.facebook.com/asesorsura.AlejandroArango,google_maps,2026-04-27,pendiente
,Seguros,camilo.fernandez@massygroup.com,321 8156430,,,Medellin,Colombia,seguros,empresas,http://massyseguros.com/,google_maps,2026-04-27,pendiente
